k, f, h2OmegaGW
7.347156167793151805e-09 1.604440516224390271e-13 3.119625962164016111e-47
4.198786945608000920e+00 9.169131213051403520e-05 1.858806963942501821e-14
8.397573883868846067e+00 1.833826241005840111e-04 7.312490500746631185e-14
1.259636082212969121e+01 2.750739360706540683e-04 1.173809258506860720e-13
1.679514776039053814e+01 3.667652480407239900e-04 3.612179508121068592e-13
2.099393469865138329e+01 4.584565600107940743e-04 3.238424248453281284e-13
2.519272163691222843e+01 5.501478719808639960e-04 3.922628061996698574e-13
2.939150857517307358e+01 6.418391839509339719e-04 4.692152521183078459e-13
3.359029551343391518e+01 7.335304959210039479e-04 4.316992748584307481e-13
3.778908245169476032e+01 8.252218078910740322e-04 4.741513071382817150e-13
4.198786938995560547e+01 9.169131198611440081e-04 4.925044103966347929e-13
4.618665632821645062e+01 1.008604431831213984e-03 4.716868049928537491e-13
5.038544326647729577e+01 1.100295743801283851e-03 5.311806511294438751e-13
5.458423020473814091e+01 1.191987055771353936e-03 6.299685921790848466e-13
5.878301714299898606e+01 1.283678367741423803e-03 8.064171156247251099e-13
6.298180408125983121e+01 1.375369679711493888e-03 1.026647688237406021e-12
6.718059101952067635e+01 1.467060991681563755e-03 1.281726310022218365e-12
7.137937795778151440e+01 1.558752303651633406e-03 1.495185711724761082e-12
7.557816489604236665e+01 1.650443615621703924e-03 1.609645301666452507e-12
7.977695183430321890e+01 1.742134927591773791e-03 1.525007864502899673e-12
8.397573877256405694e+01 1.833826239561843876e-03 1.419848376779388004e-12
8.817452571082489499e+01 1.925517551531913743e-03 1.049089714798224358e-12
9.237331264908574724e+01 2.017208863501983827e-03 8.601012854821225584e-13
9.657209958734659949e+01 2.108900175472053912e-03 4.493691653277620129e-13
1.007708865256074375e+02 2.200591487442123562e-03 1.630231193170000527e-13
1.049696734638682756e+02 2.292282799412193647e-03 8.142626311989822172e-14
1.091684604021291278e+02 2.383974111382264165e-03 5.322728065521698928e-14
1.133672473403899801e+02 2.475665423352334249e-03 2.760881345908878442e-14
1.175660342786508181e+02 2.567356735322403900e-03 2.200918878388015437e-14
1.217648212169116562e+02 2.659048047292473550e-03 1.331970712039611326e-14
1.259636081551725084e+02 2.750739359262543635e-03 9.439246837159892753e-15
1.301623950934333607e+02 2.842430671232613719e-03 5.842773617873001657e-15
1.343611820316941987e+02 2.934121983202684237e-03 4.048573440208706174e-15
1.385599689699550368e+02 3.025813295172753454e-03 2.695212720479568829e-15
1.427587559082158748e+02 3.117504607142822671e-03 1.284334160303099832e-15
1.469575428464767413e+02 3.209195919112894056e-03 9.850816098437327003e-16
1.511563297847375793e+02 3.300887231082963707e-03 4.273505646354934861e-16
1.553551167229984173e+02 3.392578543053033791e-03 1.369635317962546630e-16
1.595539036612592838e+02 3.484269855023103008e-03 5.369286175168634745e-17
1.637526905995201219e+02 3.575961166993173960e-03 8.149748108383538333e-18
1.679514775377809599e+02 3.667652478963244044e-03 2.627590605551618857e-18
1.721502644760417979e+02 3.759343790933313261e-03 1.699156779541484810e-19
1.763490514143026360e+02 3.851035102903383345e-03 0.000000000000000000e+00
1.805478383525635024e+02 3.942726414873452996e-03 0.000000000000000000e+00
1.847466252908243405e+02 4.034417726843523948e-03 0.000000000000000000e+00
1.889454122290851785e+02 4.126109038813593165e-03 0.000000000000000000e+00
1.931441991673460450e+02 4.217800350783664116e-03 0.000000000000000000e+00
1.973429861056068830e+02 4.309491662753733333e-03 0.000000000000000000e+00
2.015417730438677211e+02 4.401182974723803418e-03 0.000000000000000000e+00
2.057405599821285591e+02 4.492874286693873502e-03 0.000000000000000000e+00
2.099393469203893972e+02 4.584565598663943586e-03 0.000000000000000000e+00
2.141381338586502636e+02 4.676256910634014538e-03 0.000000000000000000e+00
2.183369207969111017e+02 4.767948222604083755e-03 0.000000000000000000e+00
2.225357077351719397e+02 4.859639534574152972e-03 0.000000000000000000e+00
2.267344946734328062e+02 4.951330846544223924e-03 0.000000000000000000e+00
2.309332816116936442e+02 5.043022158514293141e-03 0.000000000000000000e+00
2.351320685499544823e+02 5.134713470484364092e-03 0.000000000000000000e+00
2.393308554882153203e+02 5.226404782454433309e-03 0.000000000000000000e+00
2.435296424264761583e+02 5.318096094424503394e-03 0.000000000000000000e+00
2.477284293647370248e+02 5.409787406394573478e-03 0.000000000000000000e+00
2.519272163029978628e+02 5.501478718364643562e-03 0.000000000000000000e+00
2.561260032412587293e+02 5.593170030334712779e-03 0.000000000000000000e+00
2.603247901795195958e+02 5.684861342304785466e-03 0.000000000000000000e+00
2.645235771177804054e+02 5.776552654274853815e-03 0.000000000000000000e+00
2.687223640560412719e+02 5.868243966244924767e-03 0.000000000000000000e+00
2.729211509943021383e+02 5.959935278214993984e-03 0.000000000000000000e+00
2.771199379325629479e+02 6.051626590185063201e-03 0.000000000000000000e+00
2.813187248708238144e+02 6.143317902155135020e-03 0.000000000000000000e+00
2.855175118090846240e+02 6.235009214125203370e-03 0.000000000000000000e+00
2.897162987473454905e+02 6.326700526095273454e-03 0.000000000000000000e+00
2.939150856856063569e+02 6.418391838065345273e-03 0.000000000000000000e+00
2.981138726238671666e+02 6.510083150035413622e-03 0.000000000000000000e+00
3.023126595621280330e+02 6.601774462005485442e-03 0.000000000000000000e+00
3.065114465003888995e+02 6.693465773975553791e-03 0.000000000000000000e+00
3.107102334386497091e+02 6.785157085945623008e-03 0.000000000000000000e+00
3.149090203769105756e+02 6.876848397915693960e-03 0.000000000000000000e+00
