k, f, h2OmegaGW
1.147902444041151435e-08 1.358141997452014668e-13 7.045077158935561006e-45
9.686811388871234385e+00 1.146096119658655284e-04 2.130213124925587121e-11
1.937362276626344482e+01 2.292192237959168454e-04 8.140744396363050122e-11
2.906043414365565525e+01 3.438288356259681759e-04 1.726367921354770050e-10
3.874724552104786568e+01 4.584384474560195336e-04 2.730287751784090127e-10
4.843405689844007611e+01 5.730480592860708912e-04 3.656479306041151328e-10
5.812086827583228654e+01 6.876576711161220320e-04 4.354716789740345320e-10
6.780767965322449697e+01 8.022672829461732812e-04 4.812213165170489169e-10
7.749449103061671451e+01 9.168768947762250725e-04 5.034475390838275285e-10
8.718130240800893205e+01 1.031486506606276322e-03 5.115521263260995742e-10
9.686811378540113537e+01 1.146096118436327679e-03 5.211161455555320665e-10
1.065549251627933387e+02 1.260705730266378820e-03 5.514072086556553578e-10
1.162417365401855562e+02 1.375315342096430178e-03 6.236985259441186935e-10
1.259285479175777738e+02 1.489924953926481535e-03 7.581555285264383688e-10
1.356153592949699487e+02 1.604534565756532676e-03 9.658481619058266150e-10
1.453021706723621662e+02 1.719144177586583817e-03 1.243521888835441166e-09
1.549889820497543838e+02 1.833753789416635391e-03 1.553752947800510668e-09
1.646757934271466013e+02 1.948363401246686966e-03 1.812354494925752183e-09
1.743626048045388188e+02 2.062973013076738107e-03 1.957697243746351536e-09
1.840494161819310079e+02 2.177582624906789031e-03 1.958257049434380627e-09
1.937362275593232255e+02 2.292192236736840822e-03 1.800935085851834433e-09
2.034230389367154430e+02 2.406801848566891746e-03 1.494128826308637704e-09
2.131098503141076321e+02 2.521411460396943537e-03 1.066345454906478611e-09
2.227966616914998497e+02 2.636021072226994028e-03 5.808061144987937363e-10
2.324834730688920672e+02 2.750630684057046686e-03 1.754776995799947673e-10
2.421702844462842847e+02 2.865240295887097177e-03 8.916193385264484107e-11
2.518570958236765023e+02 2.979849907717148968e-03 5.510668036861711071e-11
2.615439072010686914e+02 3.094459519547199458e-03 3.605243283685904177e-11
2.712307185784608805e+02 3.209069131377250382e-03 2.381802171976416898e-11
2.809175299558531265e+02 3.323678743207302173e-03 1.593897309914064059e-11
2.906043413332453156e+02 3.438288355037353965e-03 1.030560780433385822e-11
3.002911527106375615e+02 3.552897966867405322e-03 6.631408492056814249e-12
3.099779640880297507e+02 3.667507578697456680e-03 4.200428973509447516e-12
3.196647754654219398e+02 3.782117190527507170e-03 2.400579153235467862e-12
3.293515868428141857e+02 3.896726802357558962e-03 1.229921791107906464e-12
3.390383982202063748e+02 4.011336414187610319e-03 7.845253229578295211e-13
3.487252095975986208e+02 4.125946026017662110e-03 4.519460677476871777e-13
3.584120209749908099e+02 4.240555637847713902e-03 1.294129953748588243e-13
3.680988323523829990e+02 4.355165249677764826e-03 5.675085203264412055e-14
3.777856437297752450e+02 4.469774861507815750e-03 8.613762386359604268e-15
3.874724551071674341e+02 4.584384473337866674e-03 2.775063662856261324e-15
3.971592664845596232e+02 4.698994085167917598e-03 1.794048677431931732e-16
4.068460778619518692e+02 4.813603696997970256e-03 0.000000000000000000e+00
4.165328892393440583e+02 4.928213308828020313e-03 0.000000000000000000e+00
4.262197006167362474e+02 5.042822920658072104e-03 0.000000000000000000e+00
4.359065119941284934e+02 5.157432532488123895e-03 0.000000000000000000e+00
4.455933233715206825e+02 5.272042144318173952e-03 0.000000000000000000e+00
4.552801347489129284e+02 5.386651756148225743e-03 0.000000000000000000e+00
4.649669461263051176e+02 5.501261367978277535e-03 0.000000000000000000e+00
4.746537575036973067e+02 5.615870979808329326e-03 0.000000000000000000e+00
