k, f, h2OmegaGW
7.174828108784376803e-10 4.937057131522951960e-13 4.476276043818149266e-60
4.164066506931268785e-02 2.865327772662702678e-05 2.850388252427439114e-31
8.328132942114256643e-02 5.730655495954833705e-05 1.121656056602866676e-30
1.249219937729724450e-01 8.595983219246966088e-05 1.799313898745303821e-30
1.665626581248023375e-01 1.146131094253910118e-04 5.557125645752617717e-30
2.082033224766322299e-01 1.432663866583122950e-04 4.972722822369533870e-30
2.498439868284620946e-01 1.719196638912336324e-04 6.029815479199460623e-30
2.914846511802919315e-01 2.005729411241548613e-04 7.209578730654585397e-30
3.331253155321218240e-01 2.292262183570762800e-04 6.633013651516970519e-30
3.747659798839517165e-01 2.578794955899975632e-04 7.282029562953551636e-30
4.164066442357816089e-01 2.865327728229188735e-04 7.563504896317386361e-30
4.580473085876114459e-01 3.151860500558401838e-04 7.234120522798248208e-30
4.996879729394413383e-01 3.438393272887614940e-04 8.143995899526005766e-30
5.413286372912712308e-01 3.724926045216828043e-04 9.656053364750304122e-30
5.829693016431011232e-01 4.011458817546040604e-04 1.236603284081020110e-29
6.246099659949310157e-01 4.297991589875255333e-04 1.575157479533600684e-29
6.662506303467609081e-01 4.584524362204467351e-04 1.967920212292460362e-29
7.078912946985908006e-01 4.871057134533680996e-04 2.297261241646351128e-29
7.495319590504206930e-01 5.157589906862894641e-04 2.474861955906811407e-29
7.911726234022505855e-01 5.444122679192107744e-04 2.346316537738594470e-29
8.328132877540804779e-01 5.730655451521320847e-04 2.186026227085502118e-29
8.744539521059102594e-01 6.017188223850535034e-04 1.616182512524387523e-29
9.160946164577401518e-01 6.303720996179748137e-04 1.326000077160181909e-29
9.577352808095700443e-01 6.590253768508960155e-04 6.931215991391996998e-30
9.993759451613999367e-01 6.876786540838174342e-04 2.512607754712317116e-30
1.041016609513229607e+00 7.163319313167385276e-04 1.254541563510973775e-30
1.082657273865059500e+00 7.449852085496598379e-04 8.201166037394585816e-31
1.124297938216889392e+00 7.736384857825811482e-04 4.252424881536937449e-31
1.165938602568719284e+00 8.022917630155023501e-04 3.391592879958848530e-31
1.207579266920549177e+00 8.309450402484238772e-04 2.052449618887494870e-31
1.249219931272379069e+00 8.595983174813451875e-04 1.454950627358813661e-31
1.290860595624208962e+00 8.882515947142664977e-04 9.005218196592603762e-32
1.332501259976038854e+00 9.169048719471876996e-04 6.241786486805756097e-32
1.374141924327868747e+00 9.455581491801090099e-04 4.157091371277031237e-32
1.415782588679698639e+00 9.742114264130303201e-04 1.980884994799165575e-32
1.457423253031528532e+00 1.002864703645951847e-03 1.519902777653791253e-32
1.499063917383358424e+00 1.031517980878873158e-03 6.593678811512960652e-33
1.540704581735188317e+00 1.060171258111794685e-03 2.113598149185847066e-33
1.582345246087018209e+00 1.088824535344715561e-03 8.287854997843108537e-34
1.623985910438848101e+00 1.117477812577636872e-03 1.257983394601631995e-34
1.665626574790677994e+00 1.146131089810558399e-03 4.058220454815199094e-35
1.707267239142507664e+00 1.174784367043479709e-03 2.624800450170314142e-36
1.748907903494337557e+00 1.203437644276400802e-03 0.000000000000000000e+00
1.790548567846167449e+00 1.232090921509322329e-03 0.000000000000000000e+00
1.832189232197997342e+00 1.260744198742243640e-03 0.000000000000000000e+00
1.873829896549827234e+00 1.289397475975164950e-03 0.000000000000000000e+00
1.915470560901657127e+00 1.318050753208086477e-03 0.000000000000000000e+00
1.957111225253487019e+00 1.346704030441007354e-03 0.000000000000000000e+00
1.998751889605316912e+00 1.375357307673928881e-03 0.000000000000000000e+00
2.040392553957147026e+00 1.404010584906849974e-03 0.000000000000000000e+00
2.082033218308976696e+00 1.432663862139771068e-03 0.000000000000000000e+00
2.123673882660806811e+00 1.461317139372693029e-03 0.000000000000000000e+00
2.165314547012636481e+00 1.489970416605614339e-03 0.000000000000000000e+00
2.206955211364466596e+00 1.518623693838535432e-03 0.000000000000000000e+00
2.248595875716296266e+00 1.547276971071456743e-03 0.000000000000000000e+00
2.290236540068126381e+00 1.575930248304378486e-03 0.000000000000000000e+00
2.331877204419956051e+00 1.604583525537299363e-03 0.000000000000000000e+00
2.373517868771786166e+00 1.633236802770221107e-03 0.000000000000000000e+00
2.415158533123615836e+00 1.661890080003141984e-03 0.000000000000000000e+00
2.456799197475445951e+00 1.690543357236063511e-03 0.000000000000000000e+00
